carnet,nombre,carrera,departamento,promedio
EST000000,Estudiante 0,Administracion,San Miguel,5.49
EST000001,Estudiante 1,Ingeniería Industrial,San Salvador,7.09
EST000002,Estudiante 2,Administracion,La Libertad,8.13
EST000003,Estudiante 3,Arquitectura,San Miguel,7.89
EST000004,Estudiante 4,Contaduria,San Miguel,8.78
EST000005,Estudiante 5,Administracion,Santa Ana,7.2
EST000006,Estudiante 6,Contaduria,San Salvador,7.96
EST000007,Estudiante 7,Ingeniería de Sistemas,San Salvador,5.58
EST000008,Estudiante 8,Arquitectura,San Miguel,7.75
EST000009,Estudiante 9,Arquitectura,Sonsonate,9.55
EST000010,Estudiante 10,Contaduria,San Salvador,9.34
EST000011,Estudiante 11,Ingeniería Industrial,San Miguel,7.36
EST000012,Estudiante 12,Ingeniería de Sistemas,Santa Ana,5.61
EST000013,Estudiante 13,Arquitectura,La Libertad,9.3
EST000014,Estudiante 14,Contaduria,San Salvador,5.15
EST000015,Estudiante 15,Administracion,La Libertad,9.9
EST000016,Estudiante 16,Ingeniería Industrial,Sonsonate,7.85
EST000017,Estudiante 17,Arquitectura,Santa Ana,6.18
EST000018,Estudiante 18,Arquitectura,La Libertad,9.33
EST000019,Estudiante 19,Ingeniería Industrial,Sonsonate,7.0
EST000020,Estudiante 20,Ingeniería de Sistemas,Sonsonate,9.97
EST000021,Estudiante 21,Arquitectura,San Miguel,5.36
EST000022,Estudiante 22,Arquitectura,San Miguel,9.73
EST000023,Estudiante 23,Ingeniería Industrial,La Libertad,9.92
EST000024,Estudiante 24,Ingeniería de Sistemas,La Libertad,5.18
EST000025,Estudiante 25,Ingeniería Industrial,Sonsonate,5.59
EST000026,Estudiante 26,Administracion,San Salvador,6.0
EST000027,Estudiante 27,Administracion,Sonsonate,8.35
EST000028,Estudiante 28,Ingeniería Industrial,San Miguel,5.16
EST000029,Estudiante 29,Ingeniería Industrial,Sonsonate,9.28
EST000030,Estudiante 30,Ingeniería Industrial,San Miguel,6.85
EST000031,Estudiante 31,Contaduria,Sonsonate,9.18
EST000032,Estudiante 32,Ingeniería Industrial,San Miguel,9.46
EST000033,Estudiante 33,Ingeniería de Sistemas,San Miguel,6.91
